sample_size,n_trials,pop_id,estimation_method,point_estimate,ci_method,ci_alpha,coverage_probability,true_beta,ev_beta,median_beta,bias,percent_bias,empirical_variance_beta,empirical_sd_beta,mse,mcse
25,1000,1229341730_5.911,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.911,5.399929423736023,5.368706264344873,0.5044158136492505,-8.646093322009406,0.24322267972645772,0.49317611431055514,0.5041725909695237,0.015595598088129155
25,1000,1515272734_5.919,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.9190000000000005,5.345523639087746,5.333867540276465,0.5514498752560812,-9.688737302116134,0.22257473873091915,0.47177827284744595,0.5512273005173504,0.014918938927783006
25,1000,1581860201_5.971,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.971,5.373051967518574,5.343318289907549,0.5888998619757985,-10.014202520204762,0.2313580124273898,0.48099689440514043,0.588668503963371,0.015210457337877445
25,1000,892668676_5.989,"Bayesian logit model, beta ~ t(7, 0)",MAP,highest density posterior interval,0.95,1,5.989,5.334881234070114,5.323758241845149,0.6523386992692226,-10.922003104523059,0.22446733932758542,0.47377984267757256,0.6521142319298956,0.01498223412337377
25,1000,1677688340_3.75,MLE lpm,MLE,wald,0.95,NA,3.75,0.40134034120131584,0.3945434594243533,-3.348659658798684,-89.29759090129824,0.003364432111874672,0.05800372498275151,11.216885942577594,0.0018342388371950563
25,1000,1233248129_3.799,MLE lpm,MLE,wald,0.95,NA,3.799,0.4027241307056738,0.3961567926354377,-3.396275869294326,-89.39920687797647,0.0034550746157349516,0.0587798827468629,11.538144854966664,0.001858783100777213
25,1000,1959011220_3.834,MLE lpm,MLE,wald,0.95,NA,3.834,0.4020797420025979,0.39550614629188596,-3.431920257997402,-89.51278711521654,0.003661958665914392,0.06051411955828484,11.781738615918869,0.0019136244840392254
25,1000,336997539_3.951,MLE lpm,MLE,wald,0.95,NA,3.951,0.40341986027864435,0.3965953720665141,-3.5475801397213558,-89.78942393625299,0.00362441012628253,0.06020307406007213,12.588949257871676,0.0019037883617362855
25,1000,469923319_3.982,MLE lpm,MLE,wald,0.95,NA,3.982,0.4035648126633377,0.39818906677355526,-3.5784351873366624,-89.86527341377855,0.003507868774520323,0.05922726377708431,12.808706258743694,0.0018729305311517357
25,1000,1840780356_4.051,MLE lpm,MLE,wald,0.95,NA,4.051,0.40407724806986134,0.3990107316595443,-3.6469227519301386,-90.02524690027496,0.003195490462989697,0.05652866938987417,13.303241049008685,0.0017875934837064318
25,1000,2090300807_4.145,MLE lpm,MLE,wald,0.95,NA,4.145,0.40210913550013305,0.3943936712143293,-3.7428908644998664,-90.2989352110945,0.0033144389553367987,0.05757116426942223,14.012546462511894,0.0018205600663907793
25,1000,1208125066_4.17,MLE lpm,MLE,wald,0.95,NA,4.17,0.3996517866574998,0.3940873756329605,-3.7703482133425004,-90.41602430077938,0.003482984156865996,0.059016812493271745,14.219008634011852,0.0018662754772181935
25,1000,679822524_4.231,MLE lpm,MLE,wald,0.95,NA,4.231,0.4029529275026384,0.3971605008017196,-3.8280470724973616,-90.47617755843444,0.003379712544285902,0.0581352951681326,14.657324101799906,0.0018383994517748045
25,1000,343040439_4.255,MLE lpm,MLE,wald,0.95,NA,4.255,0.4041544225753687,0.39815640019366116,-3.8508455774246313,-90.50165869388087,0.0034148206448984778,0.05843646673865967,14.832426481815741,0.0018479233330683602
